--OMDPXfO6o, 9.000, 19.000, "/m/04rlf,/m/09x0r,/m/0c3f7m"
-6KfoGO_o9M, 220.000, 230.000, "/m/09x0r,/m/0c3f7m"
-6p32k2WUCs, 0.000, 10.000, "/m/03wwcy"
-AIHL5EIKUg, 30.000, 40.000, "/m/02dgv,/m/07r4wb8,/m/09x0r"
-BJNMHMZDcU, 50.000, 60.000, "/m/03wwcy,/m/05tny_,/m/07rc7d9,/m/0bt9lr,/m/0jbk"
-DbCG1ZtD_I, 30.000, 40.000, "/m/07r4wb8,/m/09x0r"
-DoFDKsAOo4, 30.000, 40.000, "/m/03wwcy,/m/0c1dj"
-E9o4ywIoj8, 10.000, 20.000, "/m/0c3f7m"
-EWgUW9lKes, 210.000, 220.000, "/m/01y3hg,/m/09x0r"
-GSPHFcDEA0, 190.000, 200.000, "/m/09x0r,/m/0c3f7m"
-M88hG5X8fQ, 10.000, 20.000, "/m/0c3f7m"
-TQILM-c0T0, 30.000, 40.000, "/m/02y_763,/m/07qcpgn,/m/07r4wb8,/m/07yv9,/m/0k4j"
-US7xnb1Lrw, 0.000, 10.000, "/m/09x0r,/m/0c3f7m"
-Zjgm_sZd10, 0.000, 4.000, "/m/03wwcy"
-a9xYse4q-Y, 70.000, 80.000, "/m/030rvx,/m/0c3f7m"
-fKLFmdZXiA, 20.000, 30.000, "/m/01y3hg"
-ikrSfqB0LU, 0.000, 3.000, "/m/03wwcy"
-kngohODefw, 470.000, 480.000, "/m/03wwcy,/m/04rlf,/m/09x0r"
-mDOld5RYxw, 80.000, 90.000, "/m/09x0r,/m/0c3f7m"
-ofHiiMgeuA, 0.000, 8.000, "/m/030rvx,/m/0c3f7m"
-syuIC_bDQQ, 10.000, 20.000, "/m/0c3f7m"
-uS-9D7njq4, 40.000, 50.000, "/m/01y3hg,/m/09x0r"
-vT22g0S8Ro, 11.000, 21.000, "/m/02dgv,/m/02y_763,/m/07qcpgn,/m/07r4wb8,/m/07rjzl8"
-wMFgnGcIms, 100.000, 110.000, "/m/09x0r,/m/0c3f7m,/t/dd00126"
-xHz2OEO4iI, 30.000, 40.000, "/m/04rlf,/m/07r4wb8,/m/09x0r"
-yIfUyZOf0M, 30.000, 40.000, "/m/07qcpgn,/m/07r4wb8"
-zZItrrphYo, 240.000, 250.000, "/m/03wwcy,/m/04rlf,/m/09x0r,/t/dd00129"
0-2iqNNb0sw, 7.000, 17.000, "/m/0c3f7m"
0-TRchdAQao, 20.000, 30.000, "/m/0c3f7m"
013tVBuTrkE, 23.000, 33.000, "/m/01y3hg"
03DX8NWJejg, 12.000, 22.000, "/m/07pb8fc,/m/07r4wb8,/m/07yv9,/t/dd00066"
0BEtPXdDQrs, 250.000, 260.000, "/m/0c3f7m"
0Cs-KOQF9t0, 40.000, 50.000, "/m/01y3hg,/m/0c3f7m"
0E-qJw20QYY, 22.000, 32.000, "/m/07r4wb8,/m/07yv9,/m/09x0r,/m/0k4j"
0FjMs2FWcbQ, 30.000, 40.000, "/m/01y3hg,/m/03kmc9"
0H3D8l3LyXI, 220.000, 230.000, "/m/03wwcy,/m/04rlf"
0HFcj_nOBRs, 16.000, 26.000, "/m/02dgv,/m/07qcpgn,/m/07r4wb8"
0JFfTcAXT2Y, 30.000, 40.000, "/m/01y3hg,/m/02fs_r,/m/09x0r"
0KA_vvmpAI4, 40.000, 50.000, "/m/03wwcy,/m/04rlf"
0LJ-VFK_180, 130.000, 140.000, "/m/09x0r,/m/0c3f7m,/t/dd00125"
0QJDqCcTDD4, 100.000, 110.000, "/m/0c3f7m"
0S9Bb_v6Yws, 30.000, 40.000, "/m/07r4wb8,/m/09x0r"
0VeDtKRDy1Q, 30.000, 40.000, "/m/01y3hg,/m/07pp_mv,/t/dd00125"
0XGiXjdfNZc, 30.000, 40.000, "/m/09x0r,/m/0c3f7m"
0auYBHbx9HA, 170.000, 180.000, "/m/0c3f7m"
